t,S,I,R,D
356,293.6652596,2.98E-09,96727.13886,2979.195877
357,293.6652596,2.71E-09,96727.13886,2979.195877
358,293.6652596,2.46E-09,96727.13886,2979.195877
359,293.6652596,2.23E-09,96727.13886,2979.195877
360,293.6652596,2.03E-09,96727.13886,2979.195877
361,293.6652596,1.84E-09,96727.13886,2979.195877
362,293.6652596,1.67E-09,96727.13886,2979.195877
363,293.6652596,1.52E-09,96727.13886,2979.195877
364,293.6652596,1.38E-09,96727.13886,2979.195877
365,293.6652596,1.25E-09,96727.13886,2979.195877
366,293.6652596,1.13E-09,96727.13886,2979.195877
367,293.6652596,1.03E-09,96727.13886,2979.195877
368,293.6652596,9.34E-10,96727.13886,2979.195877
369,293.6652596,8.48E-10,96727.13886,2979.195877
370,293.6652596,7.70E-10,96727.13886,2979.195877
371,293.6652596,6.99E-10,96727.13886,2979.195877
372,293.6652596,6.34E-10,96727.13886,2979.195877
373,293.6652596,5.76E-10,96727.13886,2979.195877
374,293.6652596,5.23E-10,96727.13886,2979.195877
375,293.6652596,4.75E-10,96727.13886,2979.195877
376,293.6652596,4.31E-10,96727.13886,2979.195877
377,293.6652596,3.91E-10,96727.13886,2979.195877
378,293.6652596,3.55E-10,96727.13886,2979.195877
379,293.6652596,3.22E-10,96727.13886,2979.195877
380,293.6652596,2.93E-10,96727.13886,2979.195877
381,293.6652596,2.66E-10,96727.13886,2979.195877
382,293.6652596,2.41E-10,96727.13886,2979.195877
383,293.6652596,2.19E-10,96727.13886,2979.195877
384,293.6652596,1.99E-10,96727.13886,2979.195877
385,293.6652596,1.80E-10,96727.13886,2979.195877
386,293.6652596,1.64E-10,96727.13886,2979.195877
387,293.6652596,1.49E-10,96727.13886,2979.195877
388,293.6652596,1.35E-10,96727.13886,2979.195877
389,293.6652596,1.22E-10,96727.13886,2979.195877
390,293.6652596,1.11E-10,96727.13886,2979.195877
391,293.6652596,1.01E-10,96727.13886,2979.195877
392,293.6652596,9.16E-11,96727.13886,2979.195877
393,293.6652596,8.31E-11,96727.13886,2979.195877
394,293.6652596,7.55E-11,96727.13886,2979.195877
395,293.6652596,6.85E-11,96727.13886,2979.195877
396,293.6652596,6.22E-11,96727.13886,2979.195877
397,293.6652596,5.64E-11,96727.13886,2979.195877
398,293.6652596,5.12E-11,96727.13886,2979.195877
399,293.6652596,4.65E-11,96727.13886,2979.195877
400,293.6652596,4.22E-11,96727.13886,2979.195877
401,293.6652596,3.83E-11,96727.13886,2979.195877
402,293.6652596,3.48E-11,96727.13886,2979.195877
403,293.6652596,3.16E-11,96727.13886,2979.195877
404,293.6652596,2.87E-11,96727.13886,2979.195877
405,293.6652596,2.60E-11,96727.13886,2979.195877
406,293.6652596,2.36E-11,96727.13886,2979.195877
407,293.6652596,2.14E-11,96727.13886,2979.195877
408,293.6652596,1.95E-11,96727.13886,2979.195877
409,293.6652596,1.77E-11,96727.13886,2979.195877
410,293.6652596,1.60E-11,96727.13886,2979.195877
411,293.6652596,1.46E-11,96727.13886,2979.195877
412,293.6652596,1.32E-11,96727.13886,2979.195877
413,293.6652596,1.20E-11,96727.13886,2979.195877
414,293.6652596,1.09E-11,96727.13886,2979.195877
415,293.6652596,9.89E-12,96727.13886,2979.195877
