t,S,I,R
415,242.2623149,2.81E-11,99757.73769
416,242.2623149,2.56E-11,99757.73769
417,242.2623149,2.33E-11,99757.73769
418,242.2623149,2.12E-11,99757.73769
419,242.2623149,1.93E-11,99757.73769
420,242.2623149,1.76E-11,99757.73769
421,242.2623149,1.60E-11,99757.73769
422,242.2623149,1.46E-11,99757.73769
423,242.2623149,1.33E-11,99757.73769
424,242.2623149,1.21E-11,99757.73769
425,242.2623149,1.10E-11,99757.73769
426,242.2623149,1.00E-11,99757.73769
427,242.2623149,9.11E-12,99757.73769
428,242.2623149,8.30E-12,99757.73769
429,242.2623149,7.55E-12,99757.73769
430,242.2623149,6.87E-12,99757.73769
431,242.2623149,6.26E-12,99757.73769
432,242.2623149,5.70E-12,99757.73769
433,242.2623149,5.19E-12,99757.73769
434,242.2623149,4.72E-12,99757.73769
435,242.2623149,4.30E-12,99757.73769
436,242.2623149,3.91E-12,99757.73769
437,242.2623149,3.56E-12,99757.73769
438,242.2623149,3.24E-12,99757.73769
439,242.2623149,2.95E-12,99757.73769
440,242.2623149,2.69E-12,99757.73769
441,242.2623149,2.44E-12,99757.73769
442,242.2623149,2.23E-12,99757.73769
443,242.2623149,2.03E-12,99757.73769
444,242.2623149,1.84E-12,99757.73769
445,242.2623149,1.68E-12,99757.73769
446,242.2623149,1.53E-12,99757.73769
447,242.2623149,1.39E-12,99757.73769
448,242.2623149,1.27E-12,99757.73769
449,242.2623149,1.15E-12,99757.73769
450,242.2623149,1.05E-12,99757.73769
451,242.2623149,9.55E-13,99757.73769
452,242.2623149,8.70E-13,99757.73769
453,242.2623149,7.92E-13,99757.73769
454,242.2623149,7.21E-13,99757.73769
455,242.2623149,6.56E-13,99757.73769
456,242.2623149,5.97E-13,99757.73769
457,242.2623149,5.44E-13,99757.73769
458,242.2623149,4.95E-13,99757.73769
459,242.2623149,4.50E-13,99757.73769
460,242.2623149,4.10E-13,99757.73769
461,242.2623149,3.73E-13,99757.73769
462,242.2623149,3.40E-13,99757.73769
463,242.2623149,3.09E-13,99757.73769
464,242.2623149,2.82E-13,99757.73769
465,242.2623149,2.56E-13,99757.73769
466,242.2623149,2.33E-13,99757.73769
467,242.2623149,2.12E-13,99757.73769
468,242.2623149,1.93E-13,99757.73769
469,242.2623149,1.76E-13,99757.73769
470,242.2623149,1.60E-13,99757.73769
471,242.2623149,1.46E-13,99757.73769
472,242.2623149,1.33E-13,99757.73769
473,242.2623149,1.21E-13,99757.73769
474,242.2623149,1.10E-13,99757.73769
475,242.2623149,1.00E-13,99757.73769
476,242.2623149,9.12E-14,99757.73769
477,242.2623149,8.30E-14,99757.73769
478,242.2623149,7.55E-14,99757.73769
479,242.2623149,6.88E-14,99757.73769
480,242.2623149,6.26E-14,99757.73769
481,242.2623149,5.70E-14,99757.73769
482,242.2623149,5.19E-14,99757.73769
483,242.2623149,4.72E-14,99757.73769
484,242.2623149,4.30E-14,99757.73769
485,242.2623149,3.91E-14,99757.73769
486,242.2623149,3.56E-14,99757.73769
487,242.2623149,3.24E-14,99757.73769
488,242.2623149,2.95E-14,99757.73769
489,242.2623149,2.69E-14,99757.73769
490,242.2623149,2.45E-14,99757.73769
491,242.2623149,2.23E-14,99757.73769
492,242.2623149,2.03E-14,99757.73769
493,242.2623149,1.84E-14,99757.73769
494,242.2623149,1.68E-14,99757.73769
495,242.2623149,1.53E-14,99757.73769
496,242.2623149,1.39E-14,99757.73769
497,242.2623149,1.27E-14,99757.73769
498,242.2623149,1.15E-14,99757.73769
499,242.2623149,1.05E-14,99757.73769
500,242.2623149,9.55E-15,99757.73769
