t,S,I,R,D,R0,beta, gamma, mu
393,34.57075756809393,2.2694556535424113E-05,63.47421394965515,1.9550057876943718,1.6006984850594699,0.15,0.090909091,0.0028
394,34.570756391241915,2.1744722289993732E-05,63.47421601279666,1.9550058512391302,1.6006984850594699,0.15,0.090909091,0.0028
395,34.57075526364467,2.0834641375774855E-05,63.4742179895896,1.9550059121243526,1.6006984850594699,0.15,0.090909091,0.0028
396,34.57075418324074,1.996265000315158E-05,63.474219883647905,1.9550059704613485,1.6006984850594699,0.15,0.090909091,0.0028
397,34.57075314805494,1.9127154016562635E-05,63.47422169843427,1.9550060263567686,1.6006984850594699,0.15,0.090909091,0.0028
398,34.57075215619476,1.8326625980150673E-05,63.47422343726645,1.9550060799127997,1.6006984850594699,0.15,0.090909091,0.0028
399,34.57075120584689,1.7559602385382372E-05,63.47422510332336,1.9550061312273526,1.6006984850594699,0.15,0.090909091,0.0028
400,34.570750295273925,1.6824680975534734E-05,63.474226699650856,1.9550061803942393,1.6006984850594699,0.15,0.090909091,0.0028
401,34.570749422811154,1.6120518182156667E-05,63.47422822916731,1.9550062275033462,1.6006984850594699,0.15,0.090909091,0.0028
402,34.570748586863566,1.5445826668819605E-05,63.47422969466896,1.955006272640797,1.6006984850594699,0.15,0.090909091,0.0028
403,34.57074778590288,1.4799372977667015E-05,63.47423109883503,1.9550063158891118,1.6006984850594699,0.15,0.090909091,0.0028
404,34.57074701846479,1.4179975274460525E-05,63.47423244423257,1.9550063573273562,1.6006984850594699,0.15,0.090909091,0.0028
405,34.570746283146285,1.3586501188000544E-05,63.474233733321235,1.955006397031287,1.6006984850594699,0.15,0.090909091,0.0028
406,34.57074557860306,1.301786573997164E-05,63.47423496845771,1.9550064350734904,1.6006984850594699,0.15,0.090909091,0.0028
